"marker","present"
"SOX10",TRUE
"MLANA",TRUE
"PMEL",TRUE
"S100B",TRUE
"CD3D",TRUE
"CD3E",TRUE
"CD8A",TRUE
"CD74",TRUE
"HLA-DRA",FALSE
"S100A8",TRUE
"S100A9",TRUE
