"gene","present"
"HLA-DRA",FALSE
"HLA-DRB1",FALSE
"HLA-DPA1",FALSE
"HLA-DPB1",FALSE
"HLA-DQA1",FALSE
"HLA-DQB1",FALSE
"CD74",TRUE
"CIITA",TRUE
"HLA-DMA",FALSE
"HLA-DMB",FALSE
