cluster,gene,avg.exp,pct.exp,avg.exp.scaled
8,MLANA,0.05005806524614237,2.3529411764705883,1.2101452924982194
3,MLANA,0.04158452067306954,1.1890606420927468,0.6839920512565301
4,MLANA,0.041244502912884375,1.109350237717908,0.6627898859285279
2,MLANA,0.038134394222495656,0.9345794392523363,0.4685338643917588
7,MLANA,0.0062348136824648915,0.9090909090909091,-1.5581831941111781
0,MLANA,0.03066437147649135,0.7886435331230284,-4.282883390469769e-4
6,MLANA,0.033931022611428815,0.6864988558352403,0.20506630306802662
1,MLANA,0.03050770290191198,0.6820119352088662,-0.01030016849814774
5,MLANA,0.03544666187001552,0.6756756756756757,0.30018992838674846
9,MLANA,0,0,-1.9618056745814363
9,PMEL,0.07081149006935726,2.4096385542168677,0.8648097269479196
0,PMEL,0.07442993098831241,1.8138801261829656,0.9845592795829338
2,PMEL,0.09574579895157133,1.7523364485981308,1.681908406777894
3,PMEL,0.05945928241348357,1.5457788347205708,0.4864736078320986
5,PMEL,0.03991240555347824,1.1261261261261262,-0.1745679557985076
6,PMEL,0.01638711154135716,0.9153318077803204,-0.9868293475454347
7,PMEL,0.04180438162174865,0.9090909090909091,-0.1100438061858903
4,PMEL,0.032641612225366934,0.4754358161648178,-0.42362905403138473
1,PMEL,0.022935352028561243,0.4262574595055414,-0.7588642362612182
8,PMEL,0,0,-1.5638166213184084
6,MITF,0.49640619183463375,15.789473684210526,2.5
9,MITF,0.1686672540225771,6.024096385542169,0.6945013967732767
8,MITF,0.06827037181709061,1.1764705882352942,-0.009263234364016822
5,MITF,0.01990183676556827,0.45045045045045046,-0.3722940872867513
0,MITF,0.015314372598139753,0.3943217665615142,-0.4076150142325403
1,MITF,0.0066664711542140905,0.17050298380221654,-0.47463519080551425
4,MITF,0.0017576068543996549,0.15847860538827258,-0.5129349194555807
3,MITF,0.003963057022018027,0.11890606420927466,-0.4957044861000531
2,MITF,0,0,-0.5266936886867842
7,MITF,0,0,-0.5266936886867842
3,TYR,0.0025089649576271185,0.11890606420927466,0.633610505185659
2,TYR,0.004805278379217589,0.11682242990654204,1.7883099591853462
1,TYR,5.813786641854477e-4,0.08525149190110827,-0.3377185932803249
0,TYR,0.0046336282792187565,0.07886435331230283,1.7020871381309672
4,TYR,0,0,-0.6310481682036079
5,TYR,0,0,-0.6310481682036079
6,TYR,0,0,-0.6310481682036079
7,TYR,0,0,-0.6310481682036079
8,TYR,0,0,-0.6310481682036079
9,TYR,0,0,-0.6310481682036079
