gene,n_R,n_NR,median_R,median_NR,diff_median_R_minus_NR,p_value,p_adj_BH
HLA-DRA,7,5,2.4041712842143235,2.0759874968266008,0.3281837873877227,0.0057661209142372645,0.014415302285593162
CD74,7,5,2.5434521364615104,2.3902116632788815,0.1532404731826289,0.0057661209142372645,0.014415302285593162
HLA-DPA1,7,5,2.25468031588146,1.8416206347058586,0.41305968117560155,0.02299039409246491,0.03831732348744152
HLA-DPB1,7,5,2.1079755847272796,1.7341301432821636,0.373845441445116,0.10437668659975607,0.1304708582496951
HLA-DRB1,7,5,2.072950455007999,1.8399706763309542,0.23297977867704467,0.5159516963585487,0.5159516963585487
