cell_type_analysis,n_R,n_NR,median_R,median_NR,diff_median_R_minus_NR,p_value,p_adj_BH
B cell,7,5,1.3527120739499336,1.198859677464586,0.15385239648534754,0.0057661209142372645,0.011532241828474529
Myeloid / macrophage,3,8,0.953082222592776,0.8985392195899643,0.054543003002811674,0.4749585398895067,0.4749585398895067
pDC / dendritic-like,0,6,NA,0.8459863869210129,NA,NA,NA
