comparison,n_R,n_NR,median_R,median_NR,diff_median_R_minus_NR,p_value,p_adj_BH
All APC,9,9,1.2044859229065084,0.9054334799628755,0.29905244294363287,0.010444271101370228,0.020888542202740456
Myeloid / macrophage,6,9,0.9236450127843617,0.9050720262438064,0.01857298654055528,0.6799884022342944,0.6799884022342944
