cell_type_analysis,n_R,n_NR,median_R,median_NR,diff_median_R_minus_NR,p_value,p_adj_BH
Myeloid / macrophage,9,9,0.15789473684210525,0.7560975609756098,-0.5982028241335045,0.0016731410288290949,0.005019423086487285
B cell,9,9,0.6842105263157895,0.1111111111111111,0.5730994152046784,0.005268042816962485,0.007902064225443728
pDC / dendritic-like,9,9,0.00980392156862745,0.14634146341463414,-0.1365375418460067,0.11010880207043616,0.11010880207043616
