cell_type_analysis,n_R,n_NR,median_R,median_NR,diff_median_R_minus_NR,p_value,p_adj_BH,ratio_R_over_NR,ratio_NR_over_R
Cycling exhausted/tumor-reactive CD8 T,9,10,0.045454545454545456,0.23769848741605473,-0.1922439419615093,0.06619257972219339,0.26182225579258134,0.19122774380547172,5.229366723153204
Treg-like CD4 T,9,10,0.03761755485893417,0.07764667322189446,-0.04002911836296029,0.09416637543787987,0.26182225579258134,0.48447091546900867,2.0641073964820276
Conventional / memory-like CD4 T,9,10,0.21428571428571427,0.09531795946890287,0.1189677548168114,0.13091112789629067,0.26182225579258134,2.248114788437369,0.4448171441882134
gamma-delta / NK-like cytotoxic T,9,10,0.051470588235294115,0.1363532372454816,-0.08488264901018748,0.20566717961735548,0.3085007694260332,0.377479767074615,2.649148609340785
TCF7+ memory-like CD8 T,9,10,0.07352941176470588,0.05233249636579886,0.021196915398907022,0.3074341659273953,0.36892099911287435,1.4050430778371956,0.7117219505748645
GZMK+ activated/transitional CD8 T,9,10,0.17647058823529413,0.19254671082219224,-0.01607612258689811,0.6533789106936936,0.6533789106936936,0.9165079345253337,1.0910980279924227
