gene
NKG7
MIR941-1
CCL5
RGS1
AC084262.3
IGHV2-5
IGKV2-30
HLA-DRA
IGKV2D-30
FOS
IGKV3-15
SAT1
TPSAB1
D86994.2
PPBP
RNA5SP340
AP002490.1
IGLV3-25
RNA5SP82
CGA
